"","Coded.ID","Grade.Level","Year","PSAT","Class.Absences","X2.D.Art.and.Design","X3.D.Art.and.Design","Art.History","Biology","Calculus.AB","Calculus.BC","Calculus.BC..AB.Subscore","Chemistry","Computer.Science.A","Computer.Science.Principles","English.Language.and.Composition","English.Literature.and.Composition","Environmental.Science","European.History","Latin","Physics.C..Electricity.and.Magnetism","Physics.C..Mechanics","Spanish.Language.and.Culture","Statistics","United.States.History","World.History..Modern","X","Quantitative Reasoning","Verbal Reasoning"
"21",14,"12th Grade",2023,1140,36,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,64,77
"22",14,"11th Grade",2022,1140,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,64,77
"23",15,"12th Grade",2022,NA,35,NA,NA,NA,NA,NA,5,5,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"24",16,"12th Grade",2023,1110,116,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,53
"25",16,"11th Grade",2022,1110,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,47,53
"26",17,"12th Grade",2022,NA,127,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",18,"11th Grade",2023,1170,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,33,72
"28",19,"12th Grade",2023,1020,149,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,36,46
"29",19,"11th Grade",2022,1020,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,36,46
"30",20,"11th Grade",2023,1000,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,29,57
"31",20,"10th Grade",2022,1000,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,57
"32",21,"12th Grade",2023,NA,139,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",22,"12th Grade",2022,NA,77,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",23,"11th Grade",2023,1050,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,24,38
"35",24,"11th Grade",2022,990,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,57
"36",25,"12th Grade",2023,1450,83,NA,NA,NA,5,NA,5,5,NA,4,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",25,"11th Grade",2022,1450,27,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"38",26,"12th Grade",2022,NA,149,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"39",27,"12th Grade",2023,1200,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,71,72
"40",27,"11th Grade",2022,1200,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,71,72
"41",28,"10th Grade",2023,1170,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,42,62
"42",29,"11th Grade",2022,970,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,25,32
"43",30,"11th Grade",2023,1120,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,38
"44",31,"12th Grade",2022,NA,68,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,3,4,NA,NA,NA,NA,51,46
"45",32,"12th Grade",2022,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65
"46",33,"11th Grade",2023,1250,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,44,72
"47",34,"12th Grade",2023,1220,70,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,70
"48",34,"11th Grade",2022,1220,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,64,70
"49",35,"12th Grade",2023,1250,44,NA,NA,4,4,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,90
"50",35,"11th Grade",2022,1250,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,56,90
"51",36,"12th Grade",2022,NA,42,NA,NA,NA,4,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,NA,NA,NA,NA,NA
"52",37,"12th Grade",2023,1150,56,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,57
"53",37,"11th Grade",2022,1150,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,51,57
"54",38,"10th Grade",2023,1440,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,96,82
"55",39,"12th Grade",2022,NA,92,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",40,"12th Grade",2023,1230,53,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,NA
"57",41,"11th Grade",2023,1150,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,26,72
"58",41,"10th Grade",2022,1150,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,26,72
"59",42,"11th Grade",2023,1100,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,40,50
"60",42,"10th Grade",2022,1100,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,40,50
"61",43,"12th Grade",2023,980,69,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,43
"62",43,"11th Grade",2022,980,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,33,43
"63",44,"12th Grade",2023,1000,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,36
"64",44,"11th Grade",2022,1000,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,40,36
"65",45,"12th Grade",2023,1280,42,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,80
"66",45,"11th Grade",2022,1280,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,58,80
"67",46,"12th Grade",2023,1120,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,47,55
"68",46,"11th Grade",2022,1120,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,47,55
"69",47,"10th Grade",2023,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"70",48,"11th Grade",2022,900,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,23,23
"71",49,"12th Grade",2022,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",50,"12th Grade",2022,NA,58,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,4,NA,5,NA,NA,3,2,NA,NA,NA,NA,NA,NA
"73",51,"12th Grade",2023,1180,112,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,47,45
"74",51,"11th Grade",2022,1180,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,47,45
"75",52,"12th Grade",2023,1200,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",52,"11th Grade",2022,1200,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
